Q,A
3살의 냄새가 나네요,섬유탈취제 뿌려보세요.
삼겹살 냄새,유리섬유를 뿌려
저는 목숨을 끊은 사람들을 이해하지 못했습니다.,감정의 골이 깊었나봐요.
이별하고 목숨까지 끊는 사람들 전혀 이해 못 했는데,깊은 감정적 인 구멍이라고 생각합니다.
"남자친구가 있고, 남자친구가 있어요.",귀엽겠네요.
여자친구가 혼자 여행 가보고 싶다는데,당신과 함께 여행하는 것도 좋지만 혼자 여행하는 것도 좋다.
남자친구 교회 데려가고 싶어,그들의 마음을 열 때까지 그들을 설득하라.
직장에서 만난 사람과 연락할 수 있을까요?,일 핑계로 연락해봐요.
일 하면서 알게 된 사람한테 연락해도 될까?,사업적인 변명으로 전화해
이 멍.,좋은 말만 해주세요.
이 멍충아,그냥 좋은 말을 해줘
너무 많은 세금입니다.,그런 감이 없지 않죠.
세금 너무 많아,넌 그런 느낌은 없어
아직도 힘들지만.,그럴 것 같아요.
"지난 10월 밤, 그를 만나기 위해 기다릴 수 없습니다.",이별은 보고 싶은 마음을 참는 과정이죠.
10월의 마지막밤 . 더 보고싶네 그사람,분리이란 당신이 보고 싶은 것을 놓는 과정입니다.
왜 날 좋아해?,당신의 매력이 넘쳐날 거예요.
나를 왜 좋아하는 걸까?,당신의 매력으로 압도 될 것입니다.
며칠이 지났는데 다시 떨고 있어요,흔들리지 마세요.
며칠 잠잠하다가 또 흔들리네,흔들지 마
사랑은 나이를 넘어선 거야?,물리적 나이보다 정신적 나이가 중요해요.
사랑은 나이를 초월해?,정신적인 나이는 신체적인 나이를 보다 더 중요합니다.
아기 키우는거 너무 어려울 것 같아,자랄 수 있을 겁니다.
보이스피쉬처럼,전화 끊어버리세요.
보이스피싱 같아,전화를 끄세요.
사랑에 빠진다는 건 뭔지 아세요?,저는 짝사랑 전공이에요.
짝사랑 하면 무슨 기분인지 알긴 해요?,저는 짝짓기 전문가입니다.
또 다른 사람이 이런 재결합을 원하는가?,재회는 한번 쯤 꿈꿎
나 좀 사랑해줘,사랑해!
서로를 좋아하는 사람들을 찾기가 정말 어려웠습니다.,쉽지 않은 일이죠.
"법을 피하는 사람, 요리하는 사람.",능력이긴 하지만 꼬리가 길면 밟힐 거예요.
법을 요리조리 피해가는 사람,할 수 있는 사람이지만 긴 꼬리가 있으면 발자취를 당합니다.
남자친구랑 놀아봐,얼굴 보고만 있어도 좋죠.
오라는 사람과 자전거를 타고 있어요,애교 부려보세요.
O형 남자와 썸을 타는데,내 친구한테 전화해줘
아날로그 센서를 샀어요,색감 참 좋겠네요.
아날로그 감성 카메라 샀어,정말 좋은 색상이라고 생각합니다.
이건 미친 짓이야,답답한 일이 있었나봐요.
거의 매일.,술 많이 드시면 더 무너져요.
거의 매일 술,더 많이 마시면 더 많이 부러집니다.
미안하다고 말하면 어떻게 되죠?,말은 주워담을 수 없어요.
말하고 후회하면 어떡해,저는 말에 대해 잘 모릅니다.
여자친구가 눈치가 없어.,같이 가자
전 여자친구랑 잠깐 얘기해볼게요,마음이 편하길 바랍니다.
더 이상 여자친구랑 얘기할 수 없어,생각 정리할 시간이 필요하겠네요.
여자친구한테 더 이상 설레지 않아,이 문제를 해결하는 데 시간이 필요할 겁니다.
4개월이 지났어요,마음은 좀 정리 되어가길 바랍니다.
이별한지 4개월째.,당신의 마음은 좀 더 조직적이길 바랍니다.
다시 만나자는 건 아닌데 보고 싶어,정신은 복잡합니다.
저는 커플에게 혼자 있는 것이 편안하다고 말했습니다.,혼자가 편하다는 것이 거절의 뜻은 아니었을까요.
혼자가 편하다는 짝녀에게 들이댔음.,혼자 있는 것이 거부감을 의미하지 않을까요?
뭘 먹을지 모르겠어,맛있는 거 드세요.
밥 뭐 먹을까,맛있는 음식을 먹어라.
사랑하는 사람이 거짓말을 하면 어떻게 될까요?,속아주는 것도 사랑이죠.
좋아하는 사람이 거짓말을 하면 어떡하죠.,배신하는 건 사랑이야
몇 달이 지났어요,떠오르는 생각은 지울 수가 없나봐요.
뭐 깨진지 몇달도 더 되었지만,내 머릿속에 떠오르는 생각을 지울 수 없어
썸남한테 영화 보자고 해볼까?,영화가 데이트의 기초입니다.
감당 못하는 사랑,당신이 감당할 수 있는 것만 줘.
헤어진지 이제 곧1년,시간을 낭비하지 마세요.
일을 준비하는 건 어렵죠.,합격을 기원합니다.
취업 준비 힘들어,합병을 기원합니다.
무사안일 기원,오늘 평화로운 날을 위해 감사의 마음을 가지고 있습니다.
"괜찮아, 나도 알아",아니었나요.
괜찮은주 알았는데,아니었어요
하루 쉬었으면 좋겠어요.,잠시 쉬어가도 괜찮아요.
머리가 울고 있어요,조금 쉬어가는 건 어떨까요.
머리가 핑핑 도네,잠시 쉬면 어떨까?
시간 낭비하지 마세요,"그래, 나도 알아"
왜 날 사랑해?,당신 존재 자체만으로 이유가 됩니다.
날 사랑하는 이유가 뭘까?,그것은 당신의 존재입니다.
너무 많아요,억지로라도 긍정적인 감정을 끄집어보세요.
너무너무너무 힘드네,긍정적인 감정을 꺼내기 위해 노력하세요.
잊고 싶어요,마음 먹을대로 할 수 있어요.
추워서 날씨가 추워요,마음 감기 조심하세요.
마음도 춥고 날씨도 춥고,추위를 조심하세요.
한강에서 온 와인 한 잔.,분위기 있네요.
한강에서 소주한잔.,분위기 때문이에요.
공무원이 되고 싶어요.,준비해보세요.
공무원 되고 싶다,준비해
커피룸메이트는 점점 더 좋아지고 있어요.,자연스럽게 말을 걸어보세요.
성급했던 것 같네,우리는 실수를 할 수 있습니다.
나 너한테 다시 돌아가면 받아줄꺼야?? 라는 말.,후회하고 싶지 않다면 흔들지 마세요.
모든 걸 알고 있어?,다 알 수는 없어요.
울기엔 너무 귀여워요,세상에서 제일 귀엽죠!
울 애기 너무 예뻐,세상에서 가장 귀여운 물건이야!
가슴이 너무 아파서 숨을 쉬기 힘들어요,아픈만큼 더 성숙해질 거예요.
이별후 자주듣는 노래있으신가?,슬픈 노래는 세 번째 측면에 있습니다.
썸인데 어디 가는게 좋음?,왜 좋은 카페로 가지지?
혼자 여행하고 있어 괜찮아,온전히 느낄 수 있는 시간이겠네요.
나 혼자 여행 왔는데 괜찮네,충분히 느낄 때가 됐어.
남자친구랑 어디로 갈 거야?,안 가본 가까운 곳이 좋겠죠.
성숙한 사랑 은 무엇 입니까?,사랑하니까 당신이 필요한 거예요.
성숙한 사랑은 뭘까?,내가 널 사랑하기 때문에 널 필요로 한다.
더 많은 커플을 생각하면 더 조직적으로 느껴집니다.,차라리 잘 된 일이네요.
짝녀 생각할수록 정리 되는 느낌.,정말 좋았어요
선물 좀 줘,저도 받고 싶어요.
선물 주세요,나도 원해
3개월 후에 결혼할 수 있다고 생각하십니까?,만난 시간이 중요하지 않아요.
만난지 세달만에 결혼 가능함?,우리가 언제 만났는지는 중요하지 않습니다.
내일이 발표될 준비가 됐어요,마무리 잘하세요.
사랑은 당신을 먹여요?,같이 밥을 먹어주죠.
오늘 헤어졌어,좀 괜찮은가요.
오늘 헤어졌어여,괜찮아요
고백했다 차이면 어쩌지?,솔직하게 고백하면 좋은 결과를 얻을 수 있습니다.
다정한 사람 만나고싶어,그런 사람을 만나면 좋겠어요.
하루가 다르게,수십번 생각이 나나 봐요.
하루에도ㅠㅠ,내가 12번이나 생각해봤어
너무 슬퍼서 잠을 잘 수 없고 글을 쓸 수 없어요.,글로 정리하는 것도 좋은 방법이에요.
너무 슬퍼 잠못들어 보내지 못하는 글을 올려봅니다,글쓰기에도 좋은 방법이죠.
가방은 누구에게 줘야지?,당신이 축의금을 건냈던 모든 사람들에게 주세요.
청첩장 누구한테 주지?,기부한 모든 사람에게 줘
행복은 어딨어?,있는 그대로의 나로 살아야 행복하게 살 수 있어요.
어땠어?,가볍진 않았을거예요.
어떤 마음이었을까?,쉽지 않았을 겁니다.
그를 잡으려요,아직 사랑하고 있나봅니다.
붙잡고 싶어,난 아직도 널 사랑해
울지 마,붙잡고 싶다면 먼저 연락해보는 것도 좋을 거예요.
에이구 이제 그만 돌아와. 이제 그만 울고.,그들을 잡으려면 먼저 연락해야 합니다.
그 이유는 뭐죠?,심경의 변화 있나봅니다.
이런 가사 보내는 이유가 뭘까?,심장 박동이 변했습니다.
좀 멍청한 여자야,수용할 수 있는지 생각해 보세요.
여친 과소비 심해,어떻게 대처할 수 있는지 생각해보세요.
좋아하는 그사람은 바람둥이야 좋아해도 될까?,다칠 거야
보통 얼마나 많이 청구하시나요?,받은 만큼 내거나 주변에 내는 사람들과 맞추세요.
축의금 보통 얼마내?,당신이 할 수 있는 모든 것을 주거나 주변의 사람들과 일치하십시오.
좋아하는 사람 앞에서 다른 사람을 신경쓰는 척 한 적이 있습니까?,그런 순간이 있었지요.
좋아하는 사람 앞에서 다른 사람한테 관심 있는 척 해봤어요?,그 순간이 있었습니다.
헤어지는 중입니다,어려운 과정입니다.
아침을 먹었고 괜찮아요,좋은 식습관이에요.
너무 많은 미친 사람들이 있습니다.,조심해야해요.
미친 사람들이 너무 많아,조심해
내가 잘하는 것 같아?,잘하고 있어요.
섹스를 좋아하는 여자가 있나요?,사람마다 다를 거예요.
소심남 좋아하는 여자도 있나요?,사람마다 다르죠.
눈물이 말랐는지 슬퍼도 감정이안나오네,기다리지 마
가슴이 아프네요,아픈 만큼 행복해지세요.
가슴이 아프네,병든 만큼 행복해
어떻게 마음 을 알 수 있습니까?,직접 물어보는 게 좋을 것 같습니다.
마음을 확실하게 아는 방법,스스로 물어보는 게 좋을 것 같아요.
사과해야 할까요?,사과할 건 사과해야죠.
놀이터 데이트 어때?,데이트하기 좋은 곳이죠.
놀이공원 데이트 어때?,데이트 할 좋은 곳이야
"난 죽을거야, 난 죽을거야.",당신에게는 선택권이 없네요.
나를 좀 놓아달라는 여친. 혹시 가능성은 있을까? 죽을 것 같네.,넌 선택의 여지가 없어
이제 반쯤 됐어,그럼 나머지도 금방 정리될 거예요.
반 정도는 정리가 된 것 같아,그러면 나머지는 곧 해결될 겁니다.
다리를 움직일 거야,남에게 피해만 주지 않는다면 괜찮아요.
다리 떠는거 말들음,타인에게 해를 끼치지 않으면 괜찮아요
나도 비키니 입고 싶어요.,다이어트 파이팅!
나도 비키니 입고 싶다,다이어트 싸움!
실망하지 않았으면 좋겠어요,기대가 높으면 실망을 하죠.
실망 안시키면 좋겠다,기대가 높으면 실망합니다.
"남자친구와 커플이 필요하지만, 내가 사는 곳은 어디?",좋아하는 브랜드가 좋겠어요.
남자친구하고 커플티를 하고싶은데 어디거를 할까?,내가 좋아하는 브랜드를 좋아해
내 돈을 잃었어,이제라도 더 조심하세요.
난 그걸로 지쳤어 카토를 보냈어,보냈으니 어쩔 수 없어요.
오늘은 너무 힘들어,힘든 날이네요.
잘 안 해?,제가 아직 많이 부족합니다.
너 말 제대로 못해?,아직도 많은 걸 놓치고 있어요.
결혼해도 될까,당신이 되고 싶은 사람과 함께 해보세요.
난 행사가 될거야!,축하드려요!
나도 이벤트가 되다니!,축하합니다!
2개월이 지났어요,정신없는 나날이었어요.
어른이 된다는 건 뭘까,십대 시절의 일시적인 휴식입니다.
여자친구가 술만 마시면 필름이 끊기는데 너무 걱정돼.,영화를 자르는 것은 치매의 초기 증상입니다.
좋은 친구가 날 좋아한다고 생각해요.,친구사이가 깨질까 걱정되나봐요.
친한 친구가 저를 좋아하는 것 같아요.,내 친구의 헤어짐에 대해 걱정해요
이별 왜 찾아오는 것일까?,왜냐하면 시작이 있다면 끝이 있기 때문입니다.
정말 기뻐할 거예요,지금 옆에서 기뻐해주는 사람을 살펴보세요.
너가 제일 기뻐해줬을텐데,지금 누가 당신을 응원하는지 보세요.
좋아하는 애한테 페메 해볼까?,개인적으로 연락하는 게 좋을 것 같습니다.
정말 완벽해요,상대를 용서하면서 분출할 수 있는 탈출구를 찾아보세요.
진짜 완전체가 있어,상대방을 용서하고 탈출구를 찾아라.
답은 뭐죠?,마음으로 충분할 거예요.
난 딱히 차갑지 않지만 전화할게요,마음 가는 대로 하세요.
겨우 힘든 맘 추스렸는데 연락오네,네가 원하는 대로 해
오늘도 하루 버텻구나.,오늘 제가 이겼던 방식입니다.
버려진 사람 들 의 지침,자존감 회복을 위해 나아가는 건 어떨까요.
버려진 사람들을 위한 지침서,자존감을 되찾기 위해 앞으로 나아갈 수 있을까요?
남자친구에게 좀 더 적극적으로 표현하고 싶으세요? 아니면 웃게 하고 싶으세요?,왔다갔다 밀당해보세요.
남자친구에게 적극적으로 표현할까 아니면 도도하게 하는게 좋을까?,앞뒤로 밀어봐요
이것도 지나갈 거야,지나갈 거라 믿어요.
이 또한 지나가겠죠,그건 지나갈 것 같아요.
"4년 데이트, 6개월의 분리, 전 여자친구가 다시 시작했어요",헤어지면 남이에요. 신경쓰면 더 힘들어져요.
한 해가 지나고 가을이 되었습니다.,가을 타기 전 새로운 만남 추천합니다.
이제 1년도 지나고 성큼 가을이 왔네.,가을 전에 새로운 만남을 추천합니다.
문은 뜨겁지 않습니다.,힘껏 밀어보세요.
